Generation,Number of Bins
1,18
2,17
3,17
4,17
5,16
6,16
7,15
8,15
9,15
10,14
11,15
12,14
13,13
14,13
15,12
16,12
17,12
18,11
19,12
20,12
21,11
22,11
23,11
24,10
25,10
26,10
27,10
28,9
29,10
30,10
31,9
32,9
33,9
34,9
35,8
36,8
37,9
38,8
39,8
40,7
41,7
42,8
43,8
44,7
45,7
46,7
47,7
48,6
49,7
50,6
51,7
52,7
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,5
77,6
78,6
79,6
80,6
81,5
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,5
101,6
102,6
103,6
104,5
105,5
106,5
107,6
108,6
109,5
110,6
111,6
112,6
113,5
114,6
115,5
116,6
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,4
140,5
141,4
142,5
143,5
144,5
145,5
146,4
147,5
148,4
149,4
150,5
151,4
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,4
167,5
168,5
169,5
170,5
171,4
172,4
173,5
174,5
175,4
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,4
207,5
208,5
209,4
210,4
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,4
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,4
233,5
234,5
235,5
236,4
237,5
238,5
239,5
240,5
241,5
242,5
243,4
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,4
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,4
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,4
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,4
325,4
326,4
327,5
328,5
329,5
330,5
331,5
332,5
333,4
334,4
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,5
345,5
346,5
347,5
348,5
349,5
350,5
351,5
352,5
353,5
354,5
355,5
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,4
384,5
385,4
386,5
387,5
388,5
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,4
397,5
398,4
399,5
400,5
401,5
402,4
403,5
404,5
405,5
406,5
407,4
408,5
409,5
410,4
411,5
412,5
413,5
414,5
415,4
416,4
417,5
418,5
419,5
420,5
421,5
422,4
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
431,5
432,5
433,5
434,5
435,5
436,5
437,5
438,4
439,5
440,5
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,4
470,5
471,5
472,5
473,4
474,5
475,5
476,5
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,5
489,5
490,5
491,5
492,5
493,5
494,4
495,5
496,5
497,5
498,5
499,5
500,5
